date,stock_id,sector,log_return,MA_5,MA_21,MA_63,VOL_5,VOL_21,VOL_63,SP500_ret,SP500_VOL21,day_of_week,month,time_idx,split
2017-09-11,JPM,Financials,0.01537526625593274,-0.004209774453902216,-0.0012560862886059913,0.0005917598396413817,0.016516428966950214,0.009817786666509657,0.009139666294228292,0.010780904250841916,0.005882998316513927,0,9,614,train
2017-09-11,UNP,Industrials,0.008303489827039136,0.004917628543886226,0.0027213021484628085,-0.00020296538865630418,0.010899568941095087,0.010268873449623682,0.010738233379310336,0.010780904250841916,0.005882998316513927,0,9,614,train
2017-09-11,XOM,Energy,0.00544069721516687,0.0068803538673113274,0.00016855007508816431,-0.0005673527521150476,0.0085732710716951,0.007357012077776095,0.007038429711328317,0.010780904250841916,0.005882998316513927,0,9,614,train
2017-09-12,AAPL,Technology,-0.003971011835636906,-0.001511105000598525,0.0010112477596211052,0.0015367308360731313,0.012384819033871196,0.009980273738639165,0.012012063719152434,0.0033583535924836664,0.0059060139209588325,1,9,615,train
2017-09-12,JNJ,Healthcare,-0.004363575577597106,0.004159707347786998,0.00013350802119921167,0.00017382680465998063,0.010848636947026568,0.008307945708627364,0.007388199932673275,0.0033583535924836664,0.0059060139209588325,1,9,615,train
2017-09-12,JPM,Financials,0.012176727192211315,0.0030599536962767626,-0.0002768541949512469,0.0007322034244484696,0.013199956486227188,0.010092646703368213,0.009249720608434391,0.0033583535924836664,0.0059060139209588325,1,9,615,train
2017-09-12,UNP,Industrials,0.003437995417368467,0.008231211017931781,0.002482102615294172,-0.00034775688466491517,0.004918807885992731,0.01018666059310527,0.010624260735250069,0.0033583535924836664,0.0059060139209588325,1,9,615,train
2017-09-12,XOM,Energy,0.0031495097421039803,0.005923327770499736,0.0007790322224683003,-0.0005231034485015762,0.008692411789677532,0.0070241121181636645,0.007053112942196719,0.0033583535924836664,0.0059060139209588325,1,9,615,train
2017-09-13,AAPL,Technology,-0.0075505832016570275,-0.002811424500136168,-5.962956151920067e-05,0.0015724763513481456,0.012662371013156532,0.009610904998654024,0.011981086782865344,0.0007567795189854543,0.005540361076727058,2,9,616,train
2017-09-13,JNJ,Healthcare,-0.001358205853385143,0.0027060179374728743,-6.693697839717386e-05,6.234558641359413e-05,0.011040704543410508,0.008289858826273032,0.007356926565493699,0.0007567795189854543,0.005540361076727058,2,9,616,train
2017-09-13,JPM,Financials,0.0028560384984046847,0.0022950043488429773,-0.0006949653170161595,0.0008103122323067054,0.013047613074854194,0.009750510887246383,0.009246496752603394,0.0007567795189854543,0.005540361076727058,2,9,616,train
2017-09-13,UNP,Industrials,0.0014970062675931887,0.006818848215460274,0.0020165806873140937,-7.568973243271718e-05,0.0057455858369515715,0.009986243736502864,0.010444193737917811,0.0007567795189854543,0.005540361076727058,2,9,616,train
2017-09-13,XOM,Energy,0.003390808427281567,0.0024977188032691477,0.000928305886186716,-0.00029806948672871976,0.0030390128624403906,0.007045718424570211,0.006945724444911382,0.0007567795189854543,0.005540361076727058,2,9,616,train
2017-09-14,AAPL,Technology,-0.008618019922166648,-0.003730494442453673,-0.000988504637782038,0.0015311061415881773,0.012936078860391083,0.009441023656480816,0.012012156490398627,-0.0011013239025146775,0.005548020368910723,3,9,617,train
2017-09-14,JNJ,Healthcare,0.012977012558853397,0.002988425735374383,0.0005867141253077267,0.00023608527529650657,0.011338012304444036,0.00876111077455034,0.0075313544181137,-0.0011013239025146775,0.005548020368910723,3,9,617,train
2017-09-14,JPM,Financials,-0.001976347757822837,0.005437652256021974,-0.0009124774554030394,0.0008740051173624717,0.007912651170138065,0.00972444704363121,0.009212663788034321,-0.0011013239025146775,0.005548020368910723,3,9,617,train
2017-09-14,UNP,Industrials,0.02021206942324431,0.009907416376553794,0.002936913033568313,0.00011835411719104205,0.008054939382700802,0.010738970096395885,0.010706677485834627,-0.0011013239025146775,0.005548020368910723,3,9,617,train
