Date,AAPL,ABBV,ACN,ADBE,AMAT,AMD,AMZN,AVGO,BAC,BRK-B,CAT,COST,CRM,CSCO,CVX,DHR,GOOG,GOOGL,GS,HD,IBM,INTC,JNJ,JPM,KO,LIN,LLY,LOW,MA,MCD,META,MRK,MSFT,NEE,NFLX,NVDA,ORCL,PEP,PG,PM,QCOM,RTX,TMO,TSLA,TXN,UNH,V,WFC,WMT,XOM
6/7/2019,45.56881332,58.61188126,166.8531799,278.1600037,38.91191101,32.40999985,90.20149994,22.97649193,23.47707176,205.8099976,108.1734238,233.0366974,159.3340454,45.77078629,91.11249542,118.3600235,52.90520096,53.01791,162.6437073,168.5359802,96.17297363,40.10964584,115.3534698,90.72316742,41.88041687,181.9444733,108.8638535,85.82843781,255.986496,176.7733307,172.1475067,63.77222443,123.9260864,43.57711792,36.0870018,3.61507535,48.27880478,109.6261368,92.47277069,55.05021286,59.2040062,71.30688477,276.8213501,13.63333321,92.43740082,220.8929291,162.483902,38.29354858,32.18490982,55.08937454
6/10/2019,46.15115356,58.24852753,168.2397003,280.3399963,40.43988419,33.22999954,93.03150177,23.42286491,23.9375782,207.1600037,109.2859192,233.8013458,150.9558411,46.17175293,91.72003174,118.747345,53.61686707,53.73201752,166.3368988,169.176651,97.20459747,40.78060913,115.7447891,91.70384979,41.79094696,182.2809753,104.7981415,85.42927551,256.2754517,173.1773071,173.6073151,63.7877121,125.0578079,43.37030792,35.20100021,3.687873602,48.95867157,109.7247162,92.4302597,54.19807053,60.79853821,69.07296753,278.8556824,14.19200039,93.65137482,222.119278,163.2196198,38.83064651,32.62796021,55.3331337
6/11/2019,46.68555832,59.17202377,167.2636719,275.9899902,41.01170731,32.40999985,93.18499756,23.6961956,24.08255005,206.6300049,110.6243973,234.0379791,148.3475494,46.73643494,90.88000488,118.6956863,53.53448105,53.64665985,166.8595581,169.1424713,98.07751465,40.82417679,116.3775406,91.98644257,41.75028229,182.6174622,103.2159958,85.46475983,253.9255676,174.8634491,176.864563,64.17436981,124.5862961,43.06115341,35.1269989,3.745515585,48.89522171,109.4043808,92.99136353,55.02906799,61.40185547,66.33726501,280.123291,14.47333336,93.90084076,220.0873413,162.7323456,38.822258,32.75541687,55.28142166
6/12/2019,46.53698349,59.47481918,168.3765259,276.8399963,38.9025383,32.18000031,92.76599884,23.38273811,23.83524513,204.5700073,110.4679565,234.1472168,149.463974,45.7134819,90.14498901,119.4358673,53.45061111,53.55039215,162.9950409,169.9369202,97.29837799,40.36233902,117.9594574,90.8145752,42.00241852,183.4360199,106.0031128,85.44702911,254.1085205,176.3001709,173.8257751,64.73892212,124.0109558,43.61122894,34.55599976,3.632467985,48.60513687,109.3551025,93.24643707,54.37413406,59.97970963,66.94700623,280.2903442,13.95066738,91.74726868,218.8609619,163.955368,37.68930435,33.02246094,54.68309784
6/13/2019,46.52740479,59.76244354,168.704834,276.2999878,39.04315186,31.38999939,93.51499939,23.53989029,23.82671547,204.9900055,110.5287857,236.4047089,149.5232544,45.96717834,90.68499756,119.9952927,54.03323364,54.14142609,164.0490265,172.849762,97.94043732,40.69346619,117.1518631,91.03900146,41.91225433,184.3910065,102.8572617,87.47829437,251.556366,175.9216461,176.2388916,64.11250305,124.7937622,43.65812302,34.3429985,3.683650494,48.8045578,109.1908417,94.29212189,54.64172745,60.27275085,67.34629822,281.4802551,14.26066685,92.44570923,219.2727509,161.8150482,38.00822449,32.97087479,55.16324234
6/14/2019,46.18949509,59.56565094,168.7230988,274.2799988,38.64943695,30.36000061,93.48349762,22.22919273,23.91199112,205.1600037,110.5809326,236.8052063,148.2092133,44.80511093,90.61000824,120.1760406,53.86351395,53.90768814,164.2289734,175.7711945,97.50038147,40.24906158,116.635643,91.27170563,42.05979156,184.3637543,102.7836533,88.37418365,250.496994,176.6098022,180.0721283,64.44726563,124.9163437,44.12505341,33.97299957,3.593707561,48.29693222,109.0183487,94.5386734,54.36708832,59.22985458,67.610672,280.516571,14.32800007,89.22782135,220.6123657,162.1112671,38.25998306,33.09833145,54.91947937
6/17/2019,46.46508789,59.5353775,167.7471008,275.6000061,37.96511841,29.20000076,94.30149841,22.23253632,23.81818008,203.4799957,110.6591644,237.9703979,148.4858551,45.33704758,91.0450058,119.9350357,54.21835327,54.28435135,163.5177917,176.8047485,97.35607147,40.19678116,116.0944901,90.77302551,41.69912338,183.0449371,104.3106003,88.77334595,249.6302032,175.3366241,187.6988525,64.85211182,125.2935944,43.99925232,35.06200027,3.603397608,48.16097641,108.845871,94.36012268,54.92344284,59.56600571,67.03330994,281.1754456,15.00199986,88.73726654,221.1518402,162.0157013,37.99142838,33.12563705,55.46608353
6/18/2019,47.5578804,59.23258209,168.2944031,276.7799988,39.66184616,30.45000076,95.0684967,23.24230766,24.40660858,206.0099945,113.2752991,239.1627655,148.7822571,45.86896896,92.20005035,121.3637695,54.76922226,54.8475914,167.0737457,177.2318878,98.38776398,41.27729416,116.7521896,92.01137543,41.5105896,185.5551758,105.4604111,88.09033203,249.2545776,175.938797,187.1626129,65.77857208,127.4722443,43.79671097,35.7120018,3.798437595,47.95248032,108.4680405,93.17840576,54.30371094,62.02241898,68.32293701,284.3910522,14.98266697,92.32930756,220.9091339,161.7481689,38.68798447,33.27433014,55.9462204
6/19/2019,47.41887283,58.74811554,167.7927094,291.2099915,39.86807251,30.5,95.4394989,23.19549561,24.15077209,206.75,113.5186462,240.0002136,152.2896423,45.93444443,92.17003632,122.6806259,54.70619583,54.81135559,167.6393433,177.6248169,98.89270782,41.01587296,116.9353638,91.34651184,41.90405273,182.4355469,105.9939346,87.57585907,250.2754364,175.9732208,186.1794891,66.45588684,127.9720993,43.97153473,36.35200119,3.804400921,47.75304794,109.1168976,93.87556458,53.97977448,61.88451004,68.39849091,287.9115601,15.0953331,92.54551697,224.946106,163.0954132,38.31034088,33.26522446,55.63598251
6/20/2019,47.79991913,59.30070877,170.1369629,302.1099854,40.50549698,30.01000023,95.90950012,23.32590103,24.10813332,208.0399933,116.1434708,243.3590851,155.3128815,46.98193741,93.21258545,123.6359634,55.15731049,55.24260712,167.6907196,180.4522247,100.1696472,41.12043762,118.4007111,91.57918549,42.34669876,184.0272064,106.2974472,89.97970581,256.9399719,176.4636078,188.2152557,65.86420441,129.1603851,44.00139236,36.52099991,3.828749895,51.65995789,110.1928787,94.99775696,55.1735878,62.69470596,70.16296387,288.4621887,14.64133263,93.7179184,222.7612915,166.0097504,38.48657608,33.47764969,56.58885956
